"HostSpecies","LengthofCuckooEggs"
"Meadow Pipit",19.65
"Meadow Pipit",20.05
"Meadow Pipit",20.65
"Meadow Pipit",20.85
"Meadow Pipit",21.65
"Meadow Pipit",21.65
"Meadow Pipit",21.65
"Meadow Pipit",21.85
"Meadow Pipit",21.85
"Meadow Pipit",21.85
"Meadow Pipit",22.05
"Meadow Pipit",22.05
"Meadow Pipit",22.05
"Meadow Pipit",22.05
"Meadow Pipit",22.05
"Meadow Pipit",22.05
"Meadow Pipit",22.05
"Meadow Pipit",22.05
"Meadow Pipit",22.05
"Meadow Pipit",22.05
"Meadow Pipit",22.25
"Meadow Pipit",22.25
"Meadow Pipit",22.25
"Meadow Pipit",22.25
"Meadow Pipit",22.25
"Meadow Pipit",22.25
"Meadow Pipit",22.25
"Meadow Pipit",22.25
"Meadow Pipit",22.45
"Meadow Pipit",22.45
"Meadow Pipit",22.45
"Meadow Pipit",22.65
"Meadow Pipit",22.65
"Meadow Pipit",22.85
"Meadow Pipit",22.85
"Meadow Pipit",22.85
"Meadow Pipit",22.85
"Meadow Pipit",23.05
"Meadow Pipit",23.25
"Meadow Pipit",23.25
"Meadow Pipit",23.45
"Meadow Pipit",23.65
"Meadow Pipit",23.85
"Meadow Pipit",24.25
"Meadow Pipit",24.45
"Tree Pipit",21.05
"Tree Pipit",21.85
"Tree Pipit",22.05
"Tree Pipit",22.45
"Tree Pipit",22.65
"Tree Pipit",23.25
"Tree Pipit",23.25
"Tree Pipit",23.25
"Tree Pipit",23.45
"Tree Pipit",23.45
"Tree Pipit",23.65
"Tree Pipit",23.85
"Tree Pipit",24.05
"Tree Pipit",24.05
"Tree Pipit",24.05
"Hedge Sparrow",20.85
"Hedge Sparrow",21.65
"Hedge Sparrow",22.05
"Hedge Sparrow",22.85
"Hedge Sparrow",23.05
"Hedge Sparrow",23.05
"Hedge Sparrow",23.05
"Hedge Sparrow",23.05
"Hedge Sparrow",23.45
"Hedge Sparrow",23.85
"Hedge Sparrow",23.85
"Hedge Sparrow",23.85
"Hedge Sparrow",24.05
"Hedge Sparrow",25.05
"Robin",21.05
"Robin",21.85
"Robin",22.05
"Robin",22.05
"Robin",22.05
"Robin",22.25
"Robin",22.45
"Robin",22.45
"Robin",22.65
"Robin",23.05
"Robin",23.05
"Robin",23.05
"Robin",23.05
"Robin",23.05
"Robin",23.25
"Robin",23.85
"Pied Wagtail",21.05
"Pied Wagtail",21.85
"Pied Wagtail",21.85
"Pied Wagtail",21.85
"Pied Wagtail",22.05
"Pied Wagtail",22.45
"Pied Wagtail",22.65
"Pied Wagtail",23.05
"Pied Wagtail",23.05
"Pied Wagtail",23.25
"Pied Wagtail",23.45
"Pied Wagtail",24.05
"Pied Wagtail",24.05
"Pied Wagtail",24.05
"Pied Wagtail",24.85
"Wren",19.85
"Wren",20.05
"Wren",20.25
"Wren",20.85
"Wren",20.85
"Wren",20.85
"Wren",21.05
"Wren",21.05
"Wren",21.05
"Wren",21.25
"Wren",21.45
"Wren",22.05
"Wren",22.05
"Wren",22.05
"Wren",22.25
