"Year","A","B","C","D","E"
2011,NA,-4.523722,25.558036,-43.504532,-33.715596
2010,34.653067,-6.531454,53.067907,-13.802083,-6.034483
2009,26.955188,60.452289,146.900996,71.428571,72.490706
2008,3.949699,-44.369438,-56.911349,-44.416873,-39.686099
2007,8.597807,20.837968,133.474776,-14.437367,-7.46888
2006,36.3851,15.355004,18.013632,7.289294,5.934066
2005,34.652066,-0.510638,123.26087,4.028436,-4.811715
2004,7.356845,9.09935,201.21609,-0.938967,-12.773723
2003,31.521197,6.845238,49.301676,11.518325,0.3663
2002,56.763096,-21.981424,-34.611872,-24.055666,-15.740741
2001,-38.391137,52.718676,47.177419,-1.565558,27.559055
2000,-21.482602,-62.837689,-71.050584,-20.528771,-14.333895
1999,-15.822986,68.380178,151.221896,38.577586,-10.692771
1998,6.330399,114.603175,211.890244,-19.163763,11.596639
1997,61.77437,56.327543,-37.164751,-10.452418,-24.396442
1996,5.916473,88.317757,-34.504391,15.08079,24.132492
1995,1.173709,43.624161,-17.323651,-28.863346,-14.324324
1994,55.332726,51.269036,35.203366,35.467128,-0.134953
1993,3.490566,-5.288462,-50.451703,-13.731343,-10.290557
1992,17.908788,14.917127,6.909361,-0.149031,3.508772
1991,29.352518,120.731707,32.350049,-16.955446,-11.333333
1990,31.878558,74.468085,23.572296,1.891551,0.558659
1989,-14.58671,62.068966,-11.60043,-13.238512,19.492657
1988,44.835681,0,-3.322949,3.510759,-19.201726
1987,10.649351,123.076923,108.441558,22.130014,-19.670711
1986,9.68661,NA,84.063745,-19.666667,-2.780118
1985,13.961039,NA,-24.39759,-22.077922,13.806328
1984,58.762887,NA,NA,-2.284264,-23.589744
1983,11.494253,NA,NA,14.092664,13.9399
1982,19.178082,NA,NA,-25.894134,18.496538
1981,40.384615,NA,NA,12.469831,12.834821
1980,36.842105,NA,NA,20.329138,11.581569
1979,13.432836,NA,NA,12.896175,NA
1978,-4.285714,NA,NA,17.609254,NA
1977,-10.25641,NA,NA,14.243759,NA
1976,-2.5,NA,NA,-12.242268,NA
1975,-9.090909,NA,NA,4.864865,NA
1974,100,NA,NA,7.246377,NA
1973,-48.837209,NA,NA,7.644306,NA
1972,-25.217391,NA,NA,8.828523,NA
1971,101.754386,NA,NA,-9.384615,NA
1970,147.826087,NA,NA,-17.51269,NA
1969,NA,NA,NA,27.922078,NA
1968,NA,NA,NA,8.070175,NA
1967,NA,NA,NA,22.844828,NA
1966,NA,NA,NA,-0.215054,NA
1965,NA,NA,NA,10.451306,NA
1964,NA,NA,NA,1.690821,NA
1963,NA,NA,NA,7.532468,NA
