"Symbol","Company","Price..US..","Share.Volume"
"ADTN","ADTRAN, Inc.",33.98,3174520
"ALTR","Altera Corporation",40.72,11486922
"CHEF","The Chefs' Warehouse, Inc.",18.78,314757
"CREE","Cree, Inc.",24.45,10384276
"CVGW","Calavo Growers, Inc.  ",27.7,167118
"FARO","FARO Technologies, Inc.",55.73,555319
"HSFT","HiSoft Technology International Limited",11.21,238449
"LLTC","Linear Technology Corporation",33.32,11499567
"MCHP","Microchip Technology Incorporated",38.22,6052511
"MEOH","Methanex Corporation",27.54,1067916
"MPWR","Monolithic Power Systems, Inc. ",16.5,603339
"MXIM","Maxim Integrated Products, Inc.",27.56,9673963
"NTRI","NutriSystem Inc",14.07,1422704
"NXPI","NXP Semiconductors N.V. ",18.98,3581343
"OSUR","OraSure Technologies, Inc.",10.84,1109058
"POWI","Power Integrations, Inc.",35.62,981712
"VLTR","Volterra Semiconductor Corporation",28.19,708674
"VOLC","Volcano Corporation",26.72,1498164
"VPHM","ViroPharma Incorporated",30.85,2908306
"ZLTQ","ZELTIQAesthetics, Inc. ",11.58,984789
