"Subject","Reason","Details.for.Result.of.Query.with.No.Clicks"
1,"Irrelevant Results","Displayed results seemed irrelevant"
2,"Looked for Web Site","See if there’s a web site about my query "
3,"No Results","No results retrieved"
4,"Results Seen Previously","I have already seen these results for the query"
5,"Irrelevant Results","Displayed results seemed irrelevant"
6,"Results Seen Previously","I have already seen these results for the query"
7,"Abstracts were Enough","Find out what the query is about by looking at the retrieved abstracts"
8,"Checked for New Results","See if there’s a new page retrieved from the last time I issued the query"
9,"Checked for New Results","See if there’s a new page retrieved from the last time I issued the query"
10,"Checked for New Results","See if there’s a new page retrieved from the last time I issued the query"
11,"Checked for New Results","See if there’s a new page retrieved from the last time I issued the query"
12,"Abstracts were Enough","Find out what the query is about by looking at the retrieved abstracts"
13,"Spelling Error","Check spelling/syntax of query term(s)"
14,"Search Interrupted","Search was interrupted"
15,"Checked for New Results","See if there’s a new page retrieved from the last time I issued the query"
16,"Abstracts were Enough","Find out what the query is about by looking at the retrieved abstracts"
17,"Checked for New Results","See if there’s a new page retrieved from the last time I issued the query"
18,"Irrelevant Results","Displayed results seemed irrelevant"
19,"Spelling Error","Check spelling/syntax of query term(s)"
20,"Looked for Web Site","See if there’s a web site about my query "
21,"Checked for New Results","See if there’s a new page retrieved from the last time I issued the query"
22,"Irrelevant Results","Displayed results seemed irrelevant"
23,"Abstracts were Enough","Find out what the query is about by looking at the retrieved abstracts"
24,"Abstracts were Enough","Find out what the query is about by looking at the retrieved abstracts"
25,"Abstracts were Enough","Find out what the query is about by looking at the retrieved abstracts"
26,"Search Interrupted","Search was interrupted"
27,"Checked for New Results","See if there’s a new page retrieved from the last time I issued the query"
28,"Results Seen Previously","I have already seen these results for the query"
29,"Irrelevant Results","Displayed results seemed irrelevant"
30,"Looked for Web Site","See if there’s a web site about my query "
31,"Looked for Web Site","See if there’s a web site about my query "
32,"Irrelevant Results","Displayed results seemed irrelevant"
33,"Irrelevant Results","Displayed results seemed irrelevant"
34,"Irrelevant Results","Displayed results seemed irrelevant"
35,"Irrelevant Results","Displayed results seemed irrelevant"
36,"Irrelevant Results","Displayed results seemed irrelevant"
37,"Irrelevant Results","Displayed results seemed irrelevant"
38,"Irrelevant Results","Displayed results seemed irrelevant"
39,"No Results","No results retrieved"
40,"Checked for New Results","See if there’s a new page retrieved from the last time I issued the query"
41,"Checked for New Results","See if there’s a new page retrieved from the last time I issued the query"
42,"Irrelevant Results","Displayed results seemed irrelevant"
43,"Irrelevant Results","Displayed results seemed irrelevant"
44,"Spelling Error","Check spelling/syntax of query term(s)"
45,"Search Interrupted","Search was interrupted"
46,"Results Seen Previously","I have already seen these results for the query"
47,"Irrelevant Results","Displayed results seemed irrelevant"
48,"No Results","No results retrieved"
49,"Irrelevant Results","Displayed results seemed irrelevant"
50,"Abstracts were Enough","Find out what the query is about by looking at the retrieved abstracts"
51,"Irrelevant Results","Displayed results seemed irrelevant"
52,"Abstracts were Enough","Find out what the query is about by looking at the retrieved abstracts"
53,"Irrelevant Results","Displayed results seemed irrelevant"
54,"Spelling Error","Check spelling/syntax of query term(s)"
55,"Irrelevant Results","Displayed results seemed irrelevant"
56,"Checked for New Results","See if there’s a new page retrieved from the last time I issued the query"
57,"Irrelevant Results","Displayed results seemed irrelevant"
58,"Irrelevant Results","Displayed results seemed irrelevant"
59,"Spelling Error","Check spelling/syntax of query term(s)"
60,"Checked for New Results","See if there’s a new page retrieved from the last time I issued the query"
61,"Looked for Web Site","See if there’s a web site about my query "
62,"Irrelevant Results","Displayed results seemed irrelevant"
63,"Irrelevant Results","Displayed results seemed irrelevant"
64,"Irrelevant Results","Displayed results seemed irrelevant"
65,"Results Seen Previously","I have already seen these results for the query"
66,"Irrelevant Results","Displayed results seemed irrelevant"
67,"Irrelevant Results","Displayed results seemed irrelevant"
68,"Checked for New Results","See if there’s a new page retrieved from the last time I issued the query"
69,"Checked for New Results","See if there’s a new page retrieved from the last time I issued the query"
70,"Spelling Error","Check spelling/syntax of query term(s)"
71,"No Results","No results retrieved"
72,"Spelling Error","Check spelling/syntax of query term(s)"
73,"Spelling Error","Check spelling/syntax of query term(s)"
74,"Checked for New Results","See if there’s a new page retrieved from the last time I issued the query"
75,"No Results","No results retrieved"
76,"No Results","No results retrieved"
77,"Abstracts were Enough","Find out what the query is about by looking at the retrieved abstracts"
78,"Abstracts were Enough","Find out what the query is about by looking at the retrieved abstracts"
79,"Irrelevant Results","Displayed results seemed irrelevant"
80,"Search Interrupted","Search was interrupted"
81,"Looked for Web Site","See if there’s a web site about my query "
82,"Checked for New Results","See if there’s a new page retrieved from the last time I issued the query"
83,"Spelling Error","Check spelling/syntax of query term(s)"
84,"Irrelevant Results","Displayed results seemed irrelevant"
85,"Spelling Error","Check spelling/syntax of query term(s)"
86,"Checked for New Results","See if there’s a new page retrieved from the last time I issued the query"
87,"Irrelevant Results","Displayed results seemed irrelevant"
88,"Irrelevant Results","Displayed results seemed irrelevant"
89,"No Results","No results retrieved"
90,"Results Seen Previously","I have already seen these results for the query"
91,"Spelling Error","Check spelling/syntax of query term(s)"
92,"Abstracts were Enough","Find out what the query is about by looking at the retrieved abstracts"
93,"Search Interrupted","Search was interrupted"
94,"Spelling Error","Check spelling/syntax of query term(s)"
95,"Spelling Error","Check spelling/syntax of query term(s)"
96,"Irrelevant Results","Displayed results seemed irrelevant"
97,"Looked for Web Site","See if there’s a web site about my query "
98,"Spelling Error","Check spelling/syntax of query term(s)"
99,"Spelling Error","Check spelling/syntax of query term(s)"
100,"Irrelevant Results","Displayed results seemed irrelevant"
101,"Spelling Error","Check spelling/syntax of query term(s)"
102,"Irrelevant Results","Displayed results seemed irrelevant"
103,"Irrelevant Results","Displayed results seemed irrelevant"
104,"Irrelevant Results","Displayed results seemed irrelevant"
105,"Search Interrupted","Search was interrupted"
106,"Looked for Web Site","See if there’s a web site about my query "
107,"Abstracts were Enough","Find out what the query is about by looking at the retrieved abstracts"
108,"No Results","No results retrieved"
109,"Checked for New Results","See if there’s a new page retrieved from the last time I issued the query"
110,"Irrelevant Results","Displayed results seemed irrelevant"
111,"No Results","No results retrieved"
112,"Spelling Error","Check spelling/syntax of query term(s)"
113,"Results Seen Previously","I have already seen these results for the query"
114,"Irrelevant Results","Displayed results seemed irrelevant"
115,"Results Seen Previously","I have already seen these results for the query"
116,"Irrelevant Results","Displayed results seemed irrelevant"
