"Duration","Wait"
3.6,79
1.8,54
3.3,74
2.3,62
4.5,85
2.9,55
4.7,88
3.6,85
2,51
4.3,85
1.8,54
3.9,84
4.2,78
1.8,47
4.7,83
2.2,52
1.8,62
4.8,84
1.6,52
4.3,79
1.8,51
1.8,47
3.5,78
3.1,69
4.5,74
3.6,83
2,55
4.1,76
3.9,78
4.4,79
4.3,73
4.5,77
3.4,66
4,80
3.8,74
2,52
1.9,48
4.8,80
1.8,59
4.8,90
4.3,80
1.9,58
4.6,84
1.8,58
4.5,73
3.3,83
3.8,64
2.1,53
4.6,82
2,59
4.8,75
4.7,90
1.8,54
4.8,80
1.7,54
4.9,83
3.7,71
1.7,64
4.6,77
4.3,81
2.2,59
4.5,84
1.8,48
4.8,82
1.8,60
4.4,92
4.2,78
4.7,78
2.1,65
4.7,73
4,82
2,56
4.5,79
4,71
2,62
5.1,76
2,60
4.6,78
3.9,76
3.6,83
4.1,75
4.3,82
4.1,70
2.6,65
4.1,73
4.9,88
4,76
4.5,80
2.2,48
4,86
2.2,60
4.3,90
1.9,50
4.8,78
1.8,63
4.3,72
4.7,84
3.8,75
1.9,51
4.9,82
2.5,62
4.4,88
2.1,49
4.5,83
4,81
1.9,47
4.7,84
1.8,52
4.8,86
3.7,81
4.7,75
2.3,59
4.9,89
4.4,79
1.7,59
4.6,81
2.3,50
4.6,85
1.8,59
4.4,87
2.6,53
4.1,69
4.3,77
2,56
4.6,88
3.8,81
1.9,45
4.5,82
2.3,55
4.7,90
1.9,45
4.2,83
2.8,56
4.3,89
1.8,46
4.4,82
1.9,51
4.9,86
2,53
3.7,79
4.2,81
2.2,60
4.5,82
4.8,77
4.3,76
2,59
4.6,80
2,49
5.1,96
1.8,53
5,77
4,77
2.4,65
4.6,81
3.6,71
4,70
4.5,81
4.1,93
1.8,53
4,89
2.2,45
4.2,86
2,58
3.8,78
3.5,66
4.6,76
2.4,63
5,88
1.9,52
4.6,93
1.9,49
2.1,57
4.6,77
3.3,68
4.2,81
4.3,81
4.5,73
2.4,50
4,85
4.2,74
1.9,55
4.6,77
4.3,83
3.8,83
2,51
4.4,78
4.1,84
1.8,46
4.4,83
2.2,55
4.8,81
1.8,57
4.8,76
4.1,84
4,77
4.2,81
3.5,87
4.4,77
2.3,51
4.7,78
2.1,60
4.3,82
4.1,91
1.9,53
4.6,78
1.8,46
4.4,77
3.9,84
1.9,49
4.5,83
2.4,71
4.7,80
1.9,49
3.8,75
3.4,64
4.2,76
2.4,53
4.8,94
2,55
4.2,76
1.9,50
4.3,82
1.8,54
4.5,75
4,78
4.1,79
4.1,78
4.3,78
3.9,70
4.5,79
4.1,70
2.4,54
4.2,86
2.2,50
4.5,90
1.9,54
1.9,54
4.3,77
4,79
2.3,64
4.2,75
2.4,47
4.9,86
2.9,63
4.6,85
3.8,82
2.1,57
4.4,82
2.1,67
4.3,74
2.2,54
4.5,83
3.6,73
4.5,73
4.2,88
3.8,80
3.9,71
4.5,83
2,56
4.3,79
4.8,78
4.5,84
1.9,58
4.3,83
2,43
2.3,60
4.8,75
4.1,81
2.1,46
4.4,90
1.8,46
4.5,74
