"Wrong.Site","Wrong.Patient"
97465,250000
36141,106900
102362,62307
69951,192800
83242,20769
12824,2680
129900,4300
51764,30819
145976,23214
152844,26099
126845,0
152621,50000
36800,66600
52697,175000
60857,10384
121015,42900
60857,52928
46867,0
55261,8200
114720,2500
0,6900
121715,126300
34742,900
123600,7700
10959,140000
166250,76000
44769,50000
18900,354530
120782,5359
12800,4300
139700,12000
71800,16749
31245,35600
0,9045
136900,21900
145732,2010
147800,22444
169900,50000
17255,85000
16322,40370
2e+05,39863
217082,0
27281,36100
142467,49000
33343,48908
149963,19800
0,32200
54800,3400
43600,0
0,75000
0,21774
93501,2600
51997,30000
139902,7300
58293,176940
208000,55000
18654,9500
44769,55272
13100,4690
9300,75000
77400,34168
20985,83700
51764,1005
0,17419
125912,34800
176545,14739
14900,0
63000,0
118217,1000
0,325
117100,41538
210215,108200
44800,63224
2e+05,15000
72982,0
70900,3900
225000,65657
106300,50000
84200,109205
98900,3900
132000,10000
0,9900
99564,87096
145300,12090
147084,0
146000,1000
108191,0
146862,74701
174800,3900
54100,18000
80400,0
100496,33499
39639,1250
24017,0
46600,29813
59900,11724
34976,141363
54300,3685
100700,35508
71583,2500
0,12060
135472,5695
117800,50582
26300,82071
0,55400
135239,0
101000,104400
0,500
139700,0
48000,25000
59500,10000
62257,85000
102100,25000
0,0
29100,24100
138500,3900
0,1250000
150186,15074
66200,550
48700,7195
5800,101800
112854,11600
26100,1000
126600,4020
128244,19764
14000,25794
64821,900
266000,10000
76480,35200
42437,94100
0,0
207100,16909
178761,128400
500,60967
23000,50000
52230,50000
100263,84751
54795,46800
52900,130308
78100,43800
66200,49242
115200,22800
0,15500
9793,11054
34276,400
46000,10000
140369,104790
129643,13064
46634,6400
113800,1e+05
68552,17084
100263,16300
0,11000
106792,12500
142467,0
123000,1200
0,0
47334,2e+05
23600,3900
43100,3015
94200,172200
88605,25000
28913,27468
46634,250000
0,21104
182969,12500
31900,30000
31711,59000
34276,46227
125679,500
85107,131000
0,2345
0,6000
0,0
16800,670
0,9714
76480,NA
56000,NA
38700,NA
0,NA
0,NA
0,NA
76700,NA
51764,NA
0,NA
63189,NA
172779,NA
64600,NA
71117,NA
28447,NA
0,NA
89537,NA
250000,NA
147597,NA
88838,NA
143400,NA
0,NA
20000,NA
81376,NA
160153,NA
0,NA
58759,NA
102595,NA
127311,NA
148000,NA
20500,NA
0,NA
39900,NA
73900,NA
34500,NA
148191,NA
70417,NA
26000,NA
14700,NA
121715,NA
71583,NA
173185,NA
40105,NA
105626,NA
161926,NA
339421,NA
50598,NA
114254,NA
96299,NA
124513,NA
124047,NA
69018,NA
64400,NA
179170,NA
71000,NA
147100,NA
137571,NA
0,NA
143355,NA
0,NA
140800,NA
32411,NA
129176,NA
185155,NA
22384,NA
64000,NA
51531,NA
84641,NA
70184,NA
89800,NA
200247,NA
59700,NA
0,NA
80900,NA
80211,NA
84175,NA
127100,NA
49898,NA
103300,NA
5e+05,NA
0,NA
108891,NA
6062,NA
11200,NA
62490,NA
24483,NA
42000,NA
121482,NA
140135,NA
51064,NA
55700,NA
19120,NA
0,NA
137300,NA
0,NA
174995,NA
0,NA
54329,NA
140135,NA
145265,NA
133400,NA
145000,NA
64821,NA
155058,NA
0,NA
91403,NA
17721,NA
83350,NA
63200,NA
64100,NA
70000,NA
195152,NA
56660,NA
148390,NA
120316,NA
168571,NA
69252,NA
28447,NA
71583,NA
0,NA
82309,NA
117751,NA
55728,NA
99331,NA
149462,NA
40105,NA
0,NA
124746,NA
21685,NA
128900,NA
47300,NA
29379,NA
0,NA
23084,NA
116818,NA
28913,NA
52930,NA
76713,NA
72050,NA
16555,NA
0,NA
76200,NA
107492,NA
40572,NA
35000,NA
131508,NA
58759,NA
0,NA
211544,NA
22384,NA
0,NA
0,NA
97200,NA
182495,NA
158840,NA
80910,NA
141100,NA
0,NA
57593,NA
16788,NA
0,NA
84200,NA
0,NA
179203,NA
109124,NA
5600,NA
250000,NA
35000,NA
98400,NA
119850,NA
34700,NA
137300,NA
78300,NA
182172,NA
30800,NA
44302,NA
29800,NA
0,NA
147970,NA
68086,NA
125679,NA
151957,NA
7000,NA
72982,NA
75800,NA
29613,NA
18187,NA
49199,NA
42204,NA
116400,NA
130575,NA
34509,NA
115886,NA
108200,NA
146198,NA
130575,NA
40800,NA
21219,NA
69100,NA
139900,NA
150000,NA
143735,NA
140369,NA
111700,NA
139400,NA
780575,NA
25649,NA
27500,NA
21900,NA
72300,NA
69018,NA
123114,NA
151071,NA
133373,NA
0,NA
42400,NA
45235,NA
8200,NA
75500,NA
147100,NA
35675,NA
42900,NA
65288,NA
67386,NA
48499,NA
58800,NA
93968,NA
113000,NA
114720,NA
47100,NA
120316,NA
22618,NA
30800,NA
34976,NA
46600,NA
17488,NA
